ID,TITOLO,DATA,COD.ISTAT COMUNE,COMUNE,PROVINCIA,DESCRIZIONE,CATEGORIA
478,Criticità impianti fognari e idrici: Masullas,2013-11-24 18:10:00,95026,Masullas,Oristano,"Impianto interessato da esondazione, presenza di detriti. 

Impianto in riavvio, sono in corso gli accertamenti per la verifica di eventuali danni.",1.4 DANNI RETE IDRICA::6. NOTIZIE
477,Criticità impianti fognari e idrici: Pimentel,2013-11-24 18:08:00,92048,Pimentel,Cagliari,"Danneggiamento alla linea elettrica. 
Impianto riavviabile dopo il ripristino della linea ENEL.",1.4 DANNI RETE IDRICA::6. NOTIZIE
476,Criticità impianti fognari e idrici: Ballao,2013-11-24 18:05:00,92004,Ballao,Cagliari,"Area impianto allagata e non praticabile. 
Occorre attendere deflusso acque per accertare danni.",1.4 DANNI RETE IDRICA::6. NOTIZIE
475,Criticità impianti fognari e idrici: Olbia fraz. Berchideddu,2013-11-24 18:02:00,104006,Berchidda,Olbia-Tempio,"È stato accertato il danneggiamento della strada di accesso all'impianto, la presenza di rilevanti quantità di detriti ed il danneggiamento dei quadri elettrici. 

Impianto attualmente fermo. 
In corso la verifica dei danni. 
Non è ipotizzabile la data di riavvio.",1.4 DANNI RETE IDRICA::6. NOTIZIE
474,Criticità impianti fognari e idrici: Olbia,2013-11-24 17:38:00,104017,Olbia,Olbia-Tempio,"Impianto attualmente fermo a causa dei danni nel sistema fognario ed in particolare nel sistema dei sollevamenti. 

Sono in corso le attività di verifica delle apparecchiature elettromeccaniche (quadri elettrici, trasformatori, pompe) danneggiati dall'evento alluvionale.",1.4 DANNI RETE IDRICA::6. NOTIZIE
473,Criticità impianti fognari e idrici: Pabillonis,2013-11-24 17:56:00,106011,Pabillonis,Medio Campidano,"Pabillonis: area impianto interessato da piena, recinzione completamente divelta, area allagata. Da accertare danni elettrici. Impianto fermo. Non ipotizzabile la data di riavvio.",1.4 DANNI RETE IDRICA::6. NOTIZIE
472,Criticità impianti fognari e idrici: Siniscola,2013-11-24 17:44:00,91051,Nuoro,Nuoro,"Lodè: impianto allagato, inaccessibile e privo di corrente elettrica. Non si può al momento verificare il suo stato.",1.4 DANNI RETE IDRICA::6. NOTIZIE
471,criticità impianti fognari e idrici: Nuoro,2013-11-24 17:40:00,91051,Nuoro,Nuoro,"Nuoro: portata ridotta in ingresso all'impianto di depurazione, a causa del cedimento di una condotta fognaria all'altezza della galleria che convoglia i reflui al depuratore  sono in corso accertamenti per verificare l'entità di alcuni smottamenti nell'area dell'impianto.",1.4 DANNI RETE IDRICA::6. NOTIZIE
470,"Criticità impianti fognari e idrici: Bitti, Lula, Onani",2013-11-24 17:37:00,91009,Bitti,Nuoro,"Bitti-Lula-Onani: impianto fermo e non raggiungibile, strada d'accesso interrotta per danneggiamento della provinciale. È presente uno smottamento all'interno del depuratore, non arriva refluo in quanto i sollevamenti fognari sono tutti fuori servizio  non è ipotizzabile la data di riavvio dipendente dal ripristino della viabilità.",1.4 DANNI RETE IDRICA::6. NOTIZIE
469,Criticità impianti fognari e idrici: Sologo,2013-11-24 17:36:00,91043,Lula,Nuoro,"Sologo: impianto allagato, inaccessibile e privo di energia elettrica. Non si può al momento verificare lo stato degli impianti, delle apparecchiature e delle opere murarie.",1.4 DANNI RETE IDRICA::6. NOTIZIE
468,Criticità impianti fognari e idrici: Arzachena Mulgianu,2013-11-24 17:35:00,104004,Arzachena,Olbia-Tempio,"Completamente inondato dai detriti e sabbia - macchinari inondati - mancanza tensione. 
Sono in corso le attività di pulizia e verifica delle apparecchiature. 

In data odierna (24/11/2013) è risultato possibile avviare una linea di processo che permette il trattamento dei reflui dell'abitato. 

Permangono forti criticità su alcuni sollevamenti esterni che risultano allagati. 
È compromessa la continuità del collettore di adduzione del ramo Baia Sardinia.",1.4 DANNI RETE IDRICA::6. NOTIZIE
467,Criticità impianti fognari e idrici: Posada,2013-11-24 17:33:00,91073,Posada,Nuoro,"Posada: impianto interessato dall'esondazione del canale adiacente l'impianto con allagamento dell'area. L'altezza dell'acqua (60 cm) ha reso lo stesso inaccessibile per due giorni. Attualmente le acque sono defluite e sono in corso gli accertamenti per la verifica della funzionalità delle apparecchiature elettriche, completabili solo successivamente al ripristino della cabina elettrica, anch'essa interessata dall'allagamento dell'area. Non è ipotizzabile la data di riavvio.",1.4 DANNI RETE IDRICA::6. NOTIZIE
466,"Criticità impianti fognari e idrici: Monti, fraz. Su Canale",2013-11-24 17:33:00,104025,Tempio Pausania,Olbia-Tempio,"Stradello di accesso non percorribile, danni a cancello e recinzione.

Impianto riavviato ma non in sicurezza.",1.4 DANNI RETE IDRICA::6. NOTIZIE
465,Criticità impianti fognari e idrici: Loiri P. S. P. fraz. Enas,2013-11-24 17:32:00,104013,Loiri Porto San Paolo,Olbia-Tempio,Strada di accesso e collettore di adduzione danneggiati  sono rilevati danni alla recinzione. Impianto riavviato ma non in sicurezza.,1.4 DANNI RETE IDRICA::6. NOTIZIE
464,Criticità impianti fognari e idrici: Torpè - Torpè (Brunella- Talava),2013-11-24 17:31:00,91094,Torpè,Nuoro,"Torpè: impianto compromesso in seguito all'evento alluvionale che ha interessato il territorio comunale. Imponenti presenze di detriti. Sono in corso gli accertamenti per verificare le condizioni delle strutture. Non è ipotizzabile il riavvio del servizio. Situazione estremamente grave.

Torpè (Brunella-Talava): impianti allagati attualmente inaccessibili, presenza di materiale detritico nell'area circostante trasportato dall'acqua.",1.4 DANNI RETE IDRICA::6. NOTIZIE
463,Criticità impianti fognari e idrici: Loiri P. S. P. fraz. Azzanì,2013-11-24 17:30:00,104013,Loiri Porto San Paolo,Olbia-Tempio,"Sono presenti cedimenti del terreno, è assente l'energia elettrica, macchinari danneggiati, impianto non accessibile per danneggiamento strada di accesso. 

Impianto attualmente fermo.",1.4 DANNI RETE IDRICA::6. NOTIZIE
462,Criticità impianti fognari e idrici: Siniscola,2013-11-24 17:24:00,91085,Siniscola,Nuoro,Siniscola: impianto interessato da interruzioni di approvvigionamento elettrico ed incremento di portate. È stato riavviato il processo e sono in corso le verifiche sul processo.,1.4 DANNI RETE IDRICA::6. NOTIZIE
461,Criticità impianti fognari e idrici: Loiri Porto San Paolo,2013-11-24 17:29:00,104013,Loiri Porto San Paolo,Olbia-Tempio,Impianto attualmente fermo a causa del blocco del sollevamento per l'arrivo di detriti  in corso accertamenti su alcune componenti elettriche.,1.4 DANNI RETE IDRICA::6. NOTIZIE
460,Criticità impianti fognari e idrici: Padru,2013-11-24 17:25:00,104019,Padru,Olbia-Tempio,"Impianto interessato da un'onda di piena con conseguenti danni a strutture e recinzione. Sono accertati danneggiamenti ai macchinari. 
Impianto attualmente fermo. 
Non è ipotizzabile la data di riavvio.",1.4 DANNI RETE IDRICA::6. NOTIZIE
458,"DISTRIBUZIONE INDUMENTI, COPERTE, MATERASSI, GENERI ALIMENTARI. Olbia",2013-11-24 17:12:00,104017,Olbia,Olbia-Tempio,"DISTRIBUZIONE INDUMENTI, COPERTE, MATERASSI, GENERI ALIMENTARI.",2.1 Raccolta beni::2.6 Altro utile ai soccorsi::4. RIFERIMENTI DI SOCCORSO
457,PUNTI DISTRIBUZIONE PASTI GRATUITI. Olbia,2013-11-24 17:10:00,104017,Olbia,Olbia-Tempio,"I pasti vengono erogati dalle ore 12,00 e dalle ore 19,00
",2.4 Cibo e pasti::4. RIFERIMENTI DI SOCCORSO
456,PUNTI DISTRIBUZIONE PASTI GRATUITI. Olbia,2013-11-24 17:08:00,104017,Olbia,Olbia-Tempio,"I pasti vengono erogati dalle ore 12,00 e dalle ore 19,00

Chiesa di Sant’Antonio, via Aspromonte",2.4 Cibo e pasti::4. RIFERIMENTI DI SOCCORSO
455,PUNTI DISTRIBUZIONE PASTI GRATUITI. Olbia,2013-11-24 17:06:00,104017,Olbia,Olbia-Tempio,"I pasti vengono erogati dalle ore 12,00 e dalle ore 19,00

 Chiesa della Sacra Famiglia, via Roma",2.4 Cibo e pasti::4. RIFERIMENTI DI SOCCORSO
454,"Omogenizzati bimbi, Terralba",2013-11-24 17:04:00,95065,Terralba,Oristano,"Al centro … abbiamo omogeneizzati vestiario bimbi pannolini traverse. A chi può servire? Noi non abbiamo mezzo per fare consegne fuori terralba. Fateci sapere

",2.1 Raccolta beni
453,Distribuzione Pasti GRATUITI - Olbia,2013-11-24 17:00:00,104017,Olbia,Olbia-Tempio,"DISTRIBUZIONE PASTI GRATUITI.

I pasti vengono erogati dalle ore 12,00 e dalle ore 19,00 

Centro Umanitario",2.4 Cibo e pasti::4. RIFERIMENTI DI SOCCORSO
452,Distribuzione Pasti caldi-Olbia,2013-11-24 16:57:00,104017,Olbia,Olbia-Tempio,Cooperativa.... centro smistamento ,2.4 Cibo e pasti::4. RIFERIMENTI DI SOCCORSO
451,Erogazione Acqua Autobotte,2013-11-24 16:55:00,91094,Torpè,Nuoro,"Data e ora	 24/11/2013

SI AVVISA CHE L'EROGAZIONE DELL'ACQUA DELL'AUTOBOTTE AVVERRA' DALLE ORE 09:30 ALLE ORE 17:30",1.4 DANNI RETE IDRICA::6. NOTIZIE
450,Offerta Volontari/Raccolta cibo  Torpè/,2013-11-24 16:50:00,91094,Torpè,Nuoro,"I numeri da chiamare per le informazioni, per gli eventuali aiuti e per quanti volessero offrirsi come volontari per il soccorso:

Informazioni generali sull'emergenza: ...
Offerta di materiali, indumenti e vettovaglie: ....",2.1 Raccolta beni::2.4 Cibo e pasti::2.6 Altro utile ai soccorsi::2.8 Volontari::4. RIFERIMENTI DI SOCCORSO
449,Comune Solarussa Motivi dell'Alluvione,2013-11-24 16:42:00,95062,Solarussa,Oristano,DA VERIFICHE TECNICHE EFFETTUATE E’ STATO ACCERTATO CHE IL CANALE DI BONIFICA COPERTO NON ERA OSTRUITO DAI RIFIUTI. L’ALLUVIONE E’ STATA DETERMINATA DALLA PRECIPITAZIONE ECCEZIONALE CHE HA MESSO FUORI USO IL SISTEMA ORDINARIO DI DEFLUSSO.,6. NOTIZIE
448,Riunione per le famiglie-Solarussa,2013-11-24 16:38:00,95062,Solarussa,Oristano,"RIUNIONE PER LE FAMIGLIE

PER DOMANI 25.11.2013 PRESSO....ALLE ORE 17:30 SI TERRA’ UNA RIUNIONE PER CONSEGNARE LA SCHEDA DI SEGNALAZIONE E QUANTIFICAZIONE DEI DANNI DA COMPILARE E CONSEGNARE AL COMUNE PER L’INOLTRO ALLA PROTEZIONE CIVILE

ALLA RIUNIONE DEVE PARTECIPARE UN SOLO COMPONENTE PER CIASCUNA FAMIGLIA RESIDENTE NELLE VIE COINVOLTE DALL’ALLUVIONE.",6. NOTIZIE
447,Coordinamento Volontari Solarussa,2013-11-24 16:36:00,95062,Solarussa,Oristano,Numero di coordinamento per i volontari di Solarussa,2.8 Volontari::8. CERCASI VOLONTARI
446,ANIMALI - raccolta cibo e coperte - SINNAI,2013-11-24 16:37:00,92080,Sinnai,Cagliari,Sta raccogliendo cibo coperte pedane e tutto quello che vorrete donare...,2.10 Aiuti per animali
445,ANIMALI - raccolta cibo e coperte - ASSEMINI,2013-11-24 16:36:00,92003,Assemini,Cagliari,Punto di raccolta cibo coperte etc presso ...,2.10 Aiuti per animali
444,ANIMALI - raccolta cibo e coperte -CAGLIARI,2013-11-24 16:35:00,92009,Cagliari,Cagliari,"C’è un punto di raccolta di una volontaria che si è offerta di raccogliere cibo, coperte, pedane in via...

Un altro volontario che raccoglie cibo coperte ecc ecc è... Entrambi poi andranno a distribuire secondo necessità ai rifugi della zona di Cagliari e Oristano",2.10 Aiuti per animali
443,ANIMALI - raccolta cibo e coperte - ALGHERO,2013-11-24 16:34:00,90003,Alghero,Sassari,Punto di raccolta presso Ambulatorio Veterinario ....Alghero in...e presso tappezzeria ....,2.10 Aiuti per animali
441,Disponibilità di 2 Roulotte/Camper da utilizzare a Torpè - Sassari,2013-11-24 16:04:00,90064,Sassari,Sassari,"Chi in zona di Sassari, ha 2 roulotte/camper da mettere a disposizione (anche a noleggio) per una decina di giorni per utilizzarli a Torpé.",2.6 Altro utile ai soccorsi::8. CERCASI VOLONTARI
440,Volontari per caricare camion di aiuti a Lugano,2013-11-24 14:49:00,91007,Belvì,Nuoro,"Lunedì 25/11 un trasportatore andrà a Lugano con il suo Camion gratuitamente per iniziare a caricare tutti gli aiuti che stanno raccogliendo sul posto.

Ci sono tante cose utilissime ma avrebbero bisogno di qualche volontario in zona che vada a Lugano per aiutare: c'è un intero albergo, che dona tutto l'arredamento completo e in ottimo stato di 20 camere, letti, armadi, comodini, materassi, lampadari, ecc e servono volontari che vadano a smontare e caricare tutto sui camion.

Se c'è qualcuno in zona o qualcuno che volesse partire per andare ci contatti.",2.1 Raccolta beni::2.7 Raccolta Beni fuori dalla Sardegna::2.8 Volontari
439,Volontario si propone per valutazioni di immobili e infrastrutture - Olbia,2013-11-24 15:14:00,104017,Olbia,Olbia-Tempio,"Volontario per valutare la sicurezza di immobili e infrastrutture (e risolvere il problema sicurezza della città e dintorni) è a disposizione fino a lunedì per lavorare alle perizie degli edifici, con foto. 

Avrebbe necessità di sapere quante persone hanno bisogno di questo servizio per valutare la necessità di rinforzi.",2.8 Volontari::2.9 Professionalità
438,Offresi 6 posti letto Pula,2013-11-24 15:07:00,92050,Pula,Cagliari,Bed and breakfast a Pula con 6 posti letto offriamo la nostra disponibilità a persone colpite da questa inaspettata tragedia.,2.3 Posti letto
437,Erogazione acqua dall'autobotte per la cittadinanza - Torpè (NU),2013-11-24 14:58:00,91051,Nuoro,Nuoro,Il Comune avvisa che l'erogazione dell'acqua dell'autobotte avverrà dalle 09:30 alle 17:30.,2.4 Cibo e pasti
436,Offerta Materiali per la pulizia,2013-11-24 14:50:00,91044,Macomer,Nuoro,"Abbiamo la possibilità di offrire alcune cose richieste nelle ultime segnalazioni: guanti monouso, stracci, detersivi. Fateci sapere come e dove far arrivare quello che possiamo donare.",2.6 Altro utile ai soccorsi
435,Offresi Alloggio Temporaneo,2013-11-24 14:48:00,95018,Cabras,Oristano,EMERGENZA ALLUVIONE IN SARDEGNA: residence rende disponibile un appartamento per le persone che hanno bisogno di una sistemazione temporanea.,2.3 Posti letto
434,Distribuzione acqua potabile in bottiglie Oliena,2013-11-24 14:47:00,91055,Oliena,Nuoro,"La Protezione Civile di Oliena informa tutta la popolazione che è attivo il servizio per la distribuzione dell'acqua potabile in bottiglie. 

IL SERVIZIO NON SARA' FATTO PORTA A PORTA. 
Sarà data la priorità alle famiglie bisognose.",2.4 Cibo e pasti
433,ANIMALI - raccolta cibo e coperte - Oristano,2013-11-24 14:25:00,95038,Oristano,Oristano,"CLINICA VETERINARIA sta raccogliendo cibo, cucce, coperte e pedane per rialzare le cucce da distribuire ai canili di Ghilarza, Villacidro, Cagliari e Narbolia.",2.10 Aiuti per animali
432,ANIMALI - raccolta cibo e coperte - Nuoro,2013-11-24 14:19:00,91051,Nuoro,Nuoro,"Gruppo di volontarie sta organizzando una raccolta di CIBO UMIDO E SECCO, CUCCE, COPERTE da inviare ai canili di Ghilarza, Villacidro e Narbolia che sono in totale emergenza",2.10 Aiuti per animali
431,Aggiornamento necessità beni dal Comune di Terralba,2013-11-24 14:18:00,95065,Terralba,Oristano,"Comune di Terralba h 13:10 
NON occorrono più viveri abbigliamento e acqua.
SERVONO detersivi per la casa e pulizia in generale, coperte, lenzuola, asciugamani.",2.6 Altro utile ai soccorsi
428,Disponibilità idropulitrice - Olbia,2013-11-24 11:51:00,104017,Olbia,Olbia-Tempio,#Olbia a disposizione con idropulitrice industriale necessita solo di acqua e corrente elettrica.,2.9 Professionalità
426,Elettricista - Olbia,2013-11-24 11:46:00,104017,Olbia,Olbia-Tempio,"Olbia, elettricista a disposizione.",2.9 Professionalità
424,Consulenza tecnica - Olbia/Torpè,2013-11-24 11:44:00,104017,Olbia,Olbia-Tempio,consulenza tecnica GRATUITA AZIENDE AGRICOLE di ogni genere colpite x Olbia Torpe.,2.9 Professionalità
422,Raccolta beni Serramanna,2013-11-24 09:58:00,106018,Serramanna,Medio Campidano,"Domenica 24 novembre la raccolta in favore delle vittime della scorsa alluvione si terrà dalle ore 15.00 alle ore 21.00.

Contemporaneamente un gruppo sarà disponibile DALLE ORE 17.00 ALLE ORE 20.00 per smistare tutto ciò che arriverà.
- IMPORTANTE -
Chiunque voglia venire per aiutare nello smistamento è ben accetto.
Cosa serve:

- Alimenti a lunga conservazione (anche e soprattutto per celiaci)

- Molta acqua

- Attrezzatura da lavoro (incerati, stivali di gomma, pale, stivali, guanti).

- Medicinali generici.

- Lenzuola, asciugamani, cuscini, stufe.

- Materiale scolastico per bambini (non testi scolastici).",2.1 Raccolta beni
421,Aiuti agli animali - Posada/Torpè,2013-11-24 09:49:00,91073,Posada,Nuoro,Aiuti agli animali - Posada/Torpè,2.10 Aiuti per animali
